case_id,method,method_key,Precision,Recall,F1,AUC_PR,NDCG15,NDCG25,matching_policy,legacy_semantic_matches,source_findings_relative_path
Mixed_medium_01,CommonNeighbors,CommonNeighbors,0.5428571428571428,0.95,0.6909090909090908,0.9207586805555555,0.8523720832560093,0.8523720832560093,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/CommonNeighbors_Analysis/findings.json
Mixed_medium_01,Peter-Clark,Peter-Clark,0.4857142857142857,0.85,0.6181818181818183,0.5507442486033743,0.6832557394425276,0.7702439794897893,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/Peter-Clark_Analysis/findings.json
Mixed_medium_01,GAT,GAT,0.4857142857142857,0.85,0.6181818181818183,0.5234684725346429,0.5892838385288501,0.6981285345984866,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/GAT_Analysis/findings.json
Mixed_medium_01,CDHC,CDHC,0.22857142857142856,0.4,0.2909090909090909,0.1925279166666667,0.8211996265494631,0.8884482704124144,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/CDHC_Analysis/findings.json
Mixed_medium_01,IF-PDAG,IF-PDAG,0.34285714285714286,0.6,0.43636363636363634,0.6,0.9558295932317544,0.9558295932317544,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/IF-PDAG_Analysis/findings.json
Mixed_medium_01,GATE,GATE,0.5428571428571428,0.95,0.6909090909090908,0.7413714328837104,0.5854010501841501,0.8084343698647125,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/GATE_Analysis/findings.json
Mixed_medium_01,DistMult,DistMult,0.42857142857142855,0.75,0.5454545454545454,0.7061935598511927,0.9006785076423862,0.9581825287291164,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/DistMult_Analysis/findings.json
Mixed_medium_01,NOTEARS,NOTEARS,0.5714285714285714,1.0,0.7272727272727273,0.45830080519671,0.5030935412768761,0.5809696377024793,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/NOTEARS_Analysis/findings.json
Mixed_medium_01,GES,GES,0.5142857142857142,0.9,0.6545454545454545,0.47538295642969924,0.4147622099791929,0.5470537213065174,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/GES_Analysis/findings.json
Mixed_medium_01,GOLEM,GOLEM,0.5142857142857142,0.9,0.6545454545454545,0.6161068405386019,0.7460496212852282,0.9036003801903157,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/GOLEM_Analysis/findings.json
Mixed_medium_01,PC-VGAE,PCVGAE,0.48,0.6,0.5333333333333332,0.5256697180548167,0.8096701010017286,0.8692150678042834,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_01,PC-GATE,PCGATE,0.56,0.7,0.6222222222222222,0.5375694851099033,0.7045141871987675,0.8543344968699342,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_01/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_02,CommonNeighbors,CommonNeighbors,0.6,0.9130434782608695,0.7241379310344828,0.6389949275431168,0.7702926660825063,0.9045660640425666,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/CommonNeighbors_Analysis/findings.json
Mixed_medium_02,Peter-Clark,Peter-Clark,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.8104736372685596,0.8240391339668168,0.9196071957134379,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/Peter-Clark_Analysis/findings.json
Mixed_medium_02,GAT,GAT,0.5714285714285714,0.8695652173913043,0.689655172413793,0.4699943172209586,0.5886226454285692,0.769534537589465,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/GAT_Analysis/findings.json
Mixed_medium_02,CDHC,CDHC,0.4857142857142857,0.7391304347826086,0.5862068965517241,0.6521807392735143,0.7915966724808323,0.8982229917686949,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/CDHC_Analysis/findings.json
Mixed_medium_02,IF-PDAG,IF-PDAG,0.45714285714285713,0.6956521739130435,0.5517241379310345,0.5477645661873867,0.7239905617389232,0.8303352617651042,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/IF-PDAG_Analysis/findings.json
Mixed_medium_02,VGAE,VGAE,0.45714285714285713,0.6956521739130435,0.5517241379310345,0.4533012516166504,0.6977588400567918,0.8435098932338103,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/VGAE_Analysis/findings.json
Mixed_medium_02,GATE,GATE,0.6,0.9130434782608695,0.7241379310344828,0.7501954642142633,0.731236181802652,0.8326714579224407,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/GATE_Analysis/findings.json
Mixed_medium_02,DistMult,DistMult,0.6285714285714286,0.9565217391304348,0.7586206896551724,0.8867452668327815,0.5924077974610037,0.7438237650529639,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/DistMult_Analysis/findings.json
Mixed_medium_02,NOTEARS,NOTEARS,0.5428571428571428,0.8260869565217391,0.6551724137931034,0.5998388932951759,0.6372278860332186,0.7785736811793444,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/NOTEARS_Analysis/findings.json
Mixed_medium_02,GES,GES,0.6363636363636364,0.9130434782608695,0.75,0.8824219178639012,0.5889558406893214,0.7956457609615403,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/GES_Analysis/findings.json
Mixed_medium_02,GOLEM,GOLEM,0.5428571428571428,0.8260869565217391,0.6551724137931034,0.7121979116292444,0.7298870614003198,0.8689325600128859,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/GOLEM_Analysis/findings.json
Mixed_medium_02,PC-VGAE,PCVGAE,0.9523809523809523,0.8695652173913043,0.909090909090909,0.8625557578502872,0.773734513828218,0.8776884309380368,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_02,PC-GATE,PCGATE,0.8461538461538461,0.9565217391304348,0.8979591836734695,0.9376471767813613,0.7834435295721565,0.8779218751633243,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_02/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_03,CommonNeighbors,CommonNeighbors,0.5666666666666667,0.68,0.6181818181818183,0.4663742335442335,0.7915554104224973,0.8838951393587742,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/CommonNeighbors_Analysis/findings.json
Mixed_medium_03,Peter-Clark,Peter-Clark,0.6571428571428571,0.92,0.7666666666666667,0.8687641128992439,0.7796424165352411,0.8976383065192475,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/Peter-Clark_Analysis/findings.json
Mixed_medium_03,GAT,GAT,0.45714285714285713,0.64,0.5333333333333333,0.3241653649816191,0.4895581465940039,0.6587608380210118,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/GAT_Analysis/findings.json
