case_id,method,method_key,Precision,Recall,F1,AUC_PR,NDCG15,NDCG25,source_relative_path
Mixed_medium_18,DistMult,DistMult,0.6571428571428571,0.8214285714285714,0.73015873015873,0.7093517271748411,0.7499213145506357,0.7970103954648902,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_18/DistMult_Analysis/evaluation_results.json
Mixed_medium_18,NOTEARS,NOTEARS,0.7714285714285715,0.9642857142857143,0.8571428571428572,0.8027167224349592,0.5595204140809765,0.6455573796345531,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_18/NOTEARS_Analysis/evaluation_results.json
Mixed_medium_18,GES,GES,0.7714285714285715,0.9642857142857143,0.8571428571428572,0.8459256357017462,0.4693585669305307,0.6934367992809755,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_18/GES_Analysis/evaluation_results.json
Mixed_medium_18,GOLEM,GOLEM,0.7714285714285715,0.9642857142857143,0.8571428571428572,0.8835959772028805,0.6545142174519367,0.744154646605905,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_18/GOLEM_Analysis/evaluation_results.json
Mixed_medium_18,PC-VGAE,PCVGAE,0.8846153846153846,0.8214285714285714,0.8518518518518519,0.8149694329438018,0.8200366584149613,0.8886005365823701,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_18/PCVGAE_Analysis/1_Final_Results/evaluation/quantitative_evaluation_report.json
Mixed_medium_18,PC-GATE,PCGATE,1,0.9642857142857143,0.9818181818181818,0.937525922093476,0.8196993459218264,0.8866420026984748,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_18/PCGATE_Analysis/1_Final_Results/evaluation/quantitative_evaluation_report.json
Mixed_medium_19,CommonNeighbors,CommonNeighbors,0.6571428571428571,0.8214285714285714,0.73015873015873,0.6258901209997557,0.6175338569012658,0.8887734715119907,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/CommonNeighbors_Analysis/evaluation_results.json
Mixed_medium_19,Peter-Clark,Peter-Clark,0.6285714285714286,0.7857142857142857,0.6984126984126985,0.6889378362648398,0.6638033118768603,0.7498618805957886,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/Peter-Clark_Analysis/evaluation_results.json
Mixed_medium_19,GAT,GAT,0.5714285714285714,0.7142857142857143,0.634920634920635,0.6563061930581429,0.764167593374866,0.8141726064180798,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/GAT_Analysis/evaluation_results.json
Mixed_medium_19,CDHC,CDHC,0.2857142857142857,0.35714285714285715,0.3174603174603175,0.29759891983016984,0.8650858456670527,0.8650858456670527,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/CDHC_Analysis/evaluation_results.json
Mixed_medium_19,IF-PDAG,IF-PDAG,0.42857142857142855,0.5357142857142857,0.47619047619047616,0.5178225806451613,0.8687949224876581,0.8687949224876581,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_19/IF-PDAG_Analysis/evaluation_results.json
