Method,Scale,n_cases,F1_mean,F1_std,F1_str,AUC_PR_mean,AUC_PR_std,AUC_PR_str,nDCG15_mean,nDCG15_std,nDCG15_str
PCGATE,Small,24,0.8031549405462671,0.09580186900782633,0.8032 +/- 0.0958,0.8453715202582913,0.13038541190475428,0.8454 +/- 0.1304,0.8413532644863834,0.07617735525487457,0.8414 +/- 0.0762
PCGATE,Medium,25,0.9357181333112626,0.057634505662772,0.9357 +/- 0.0576,0.9098946213132351,0.07868798441836283,0.9099 +/- 0.0787,0.7858018115253073,0.058016572950821584,0.7858 +/- 0.0580
PCVGAE,Small,25,0.7981560271082722,0.09016364027805678,0.7982 +/- 0.0902,0.8579870503422602,0.12195460027905441,0.8580 +/- 0.1220,0.8380660348044947,0.0653749594275209,0.8381 +/- 0.0654
PCVGAE,Medium,25,0.924568339012414,0.07120608185988733,0.9246 +/- 0.0712,0.9090750299505953,0.07456334097842797,0.9091 +/- 0.0746,0.7966356277855178,0.06850289643223119,0.7966 +/- 0.0685
VGAE,Small,25,0.5623049435822027,0.09271586713420811,0.5623 +/- 0.0927,0.6919652599419944,0.18319912713410436,0.6920 +/- 0.1832,0.6940509879655322,0.13736288834303728,0.6941 +/- 0.1374
VGAE,Medium,24,0.6452912917527911,0.12283322069804888,0.6453 +/- 0.1228,0.6225354120140585,0.19778332328629547,0.6225 +/- 0.1978,0.6702859424713242,0.1537007253789377,0.6703 +/- 0.1537
GATE,Small,25,0.5897527933809696,0.08123930102260725,0.5898 +/- 0.0812,0.9050610543031767,0.06654403418367849,0.9051 +/- 0.0665,0.818317219972407,0.08361308110542733,0.8183 +/- 0.0836
GATE,Medium,25,0.7773937691146336,0.07839360954343036,0.7774 +/- 0.0784,0.8320726193617253,0.10539032232154501,0.8321 +/- 0.1054,0.6764650272294572,0.09726516049354701,0.6765 +/- 0.0973
